Sl No,Bot Msg
20,"It's about available opportunities. If there's opportunity, l will trade for sure. If volatility is too high and we don't get trade set-ups with favorable risk reward, then unnecessary for the sake of trading won't take trade. Capital protection is the prime objective. Profit comes automatically. We focus on the amount of profit we can get in each trade rather than the number of trades. Less trades but high profitability is our motto. When we take a trade, the Idea is to get 10% capital appreciation in each trade.90% case we get it in a day.If not, we carry and book within a day or two. I hope I've been able to clarify your doubt."
21,After near 10% capital appreciation
22,"Yes you can as mentioned in the point no 5 but too frequently login will cause unnecessarily trouble, so it's advised not to."
23,"https://t.me/Q7TradingSolutions/39914

In the above example, net profit is 4.61L & not 4.72L, so net profit that's 4.61L is considered. No other taxes (like individual 30%/20% tax bracket will be taken into consideration)"
24,"As you're paying 5k as one-time fee for lifetime account maintenance, there is no monthly charge. Only 30% sharing when 10% capital appreciation is done."
25,"5k is the one-time fees which is the charge of managing your account for Life time. Once we start, we will share profit only according to 70:30 ratio. There is an operational cost associated with IT system maintenance (where central order placement happens), maintaining superior data for flawless analysis, apart from that managing an account like proper placement of exit orders and perfect execution after 10% capital appreciation ( that's the job of a dedicated person). That's why one-time maintenance fees of 5k is taken. 

It's taken only one time before we start , no extra operational cost. Moreover, in our starting days previous experiences there are people who have got profit and didn't pay heed once I've asked them to pay my share. That's why I've kept this constant for all the client. I feel, if I have to run a business ethically I've to keep certain set of norms for everyone irrespective of personal preference and capital. That's why service rules are same for each and every incumbent clients. 500+ clients have followed this, if you do wish to get associated with us, Kindly adhere to this. There's nothing more we can do about it."
26,Yes. You can maintaining the minimum capital requirement in your account
27,No provided you give prior intimation regarding this.
28,"
https://t.me/Q7TradingSolutions/36340

We share the p&ls along the trades taken and respective calls to give a clear idea regarding the accuracy 

https://t.me/Q7TradingSolutions/34076?single"
29,"If you've less capital, your take one lot only, gradually once you book consistent profit, then increase the capital, for one lot 35k is sufficient

Hni clients have doubled their 35k capital to 70k

https://t.me/Q7TradingSolutions/32618

https://t.me/Q7TradingSolutions/39848"
30,"The targets are in tune of 20k to 30k+ for each lot
Though 70% cases it hits intraday. 

But when I give a trade, the intention is not to necessarily exit in intraday only. 

The criterion to exit is to get the desired profit.

However, If you wait for the target, you can double your capital like the way I did in many of my AMS clients' accounts. You can check the p&ls those have been posted regularly. 

If you are satisfied with 7k to 10k intraday gain, you can exit and sit.

So, it's difficult to predict an exact number but it mostly would be similar only"
31,"Yes. You'll get sufficient time to enter.

We don't give calls like buy above or sell below

What we have are 

1. Specific trades

2. With simple entry

3. Just place the order

It'll get executed just like 100% cases as per past data

Plus I'll be there to guide you in case of any need

It means, once you get a call like

Ashok 120 CE buy at 7 to 5.75 sl 5 clbs target 13.50 20+

The price would be 7 or near 7 only like 7.05 or 6.95 like that

You just need to place an order of buy at 7

That's it."
32,"I run my service on quality and not on discount to lure clients, you can go for higher plans to get the Subscription cost reduced but I have never given a discount to my service since the beginning itself. Frankly speaking I already have a decent client base with God's grace. 90% of them renew, so giving a discount doesn't seem viable to me.

Moreover, it's about quality of the trade. You can get Micromax at 3k but Apple iPhone cost 1L.


90% of my Targets do hit. 

Every call takes 20k to 30k capital

Target are above 20k range

Premium clients made 900% return in less than a month

https://t.me/Q7TradingSolutions/39189

My charge is very nominal. Only quality people becomes prime clients. I have selected but long-term clients, out of them 90% renews."
33,"Yes. Definitely. We update important things in the channel only. Even after that if you've any queries, we would be there to resolve"
34,"Well, both are buy levels. In chart it's a buy from 41 but if market falls, it might come to 33 level as well. But target is going to get achieved. So, if you've high capital you should buy at both levels. If you've low capital, you may wait for the 2nd level (but it's not always going to come 2nd level) but here in market money makes money. You've to deal with it."
35,"Past 3 months' all trades are shared month wise

1. Aug month 

https://t.me/Q7TradingSolutions/40151

2. July month 

https://t.me/Q7TradingSolutions/38375

3. June month

https://t.me/Q7TradingSolutions/36340"
36,"If you've less capital, your take one lot only, gradually once you book consistent profit, then increase the capital, for one lot 20k is sufficient

Whatsapp clients have made 900% return on their investments in less than a month. 20k has become 1.7L in a month

https://t.me/Q7TradingSolutions/39189"
37,"20K capital
https://t.me/Q7TradingSolutions/39718?single

https://t.me/Q7TradingSolutions/39189

https://t.me/Q7TradingSolutions/35960?single
 
25k capital

https://t.me/Q7TradingSolutions/37273?single

https://t.me/Q7TradingSolutions/37274

https://t.me/Q7TradingSolutions/36159?single

https://t.me/Q7TradingSolutions/40256
50k capital

https://t.me/Q7TradingSolutions/38386

https://t.me/Q7TradingSolutions/38387"
38,"Please refer to the link mentioned below - 

https://t.me/Q7TradingSolutions/39463"
39,"Please refer to the link below – 
https://t.me/Q7TradingSolutions/39915"
40,"Please refer to the link below – 
https://t.me/Q7TradingSolutions/39916"
41,"As 90% of the clients do have starting capital below 3L, we have shared up to 3L capital's p&l (Please check 2L to 3L option). Return is synonymous to capital. Higher capital would fetch more profit and lower risk because of diversification of trades."
42,">> Charges are

6k for one month (regular price) 

Today's effective rate 5k. (20% off today ONLY.)

But for YEARLY SUBSCRIPTION, the charge is only 10k instead of 60k ( 85% off) 

In that manner, your effective monthly fees will be only 900? rupees where others are paying 5000?. That's why most clients chose yearly subscription only. 

=> LIFETIME ACCESS OF PRIME

Available at 15k ONLY. 

Our single lot option trade target is usually more than 15k. You can recover your lifetime subscription amount in the first trade only as per our previous experience..

Payment details:-

Q7 Trading Solutions

Account number -10190004393653

Account type - Current Account. 

IFSC  BDBL0001026

Bandhan Bank

Upi ID - 8927854899@upi

Gpay/ Phonpe - 8927854899

After payment, kindly share your screenshot to @profitabletrader to get added in the WhatsApp prime broadcast"
43,Thanks for choosing Stock PMS services. Please let me know the name of the platform you use for trading from the options given below -
44,"You chose Zerodha account.
Please change the password to bisw1234(b in small) and pin to 123456 of your zerodha account
You need to make one-time payment of 10K which is the lifetime account handling charge in the below mentioned account -
Q7 Trading Solutions

Account number - 10190004393653

Account type - Current Account. 

IFSC  BDBL0001026

Bandhan Bank

Upi ID - 8927854899@upi

Gpay/Phonepe/Paytm – 8927854899

Kindly make the payment as I need to upload the payment ID along with the trading account details in my system, and need to assign a dedicated associate against your ID, so that we can start hassle free from tomorrow morning.

After the payment share your screenshot and Groww ID to this ID @profitabletrader (telegram) 

In case of any issues in non accepting the recommended password please connect in this id @profitabletrader"
45,"You chose Upstoxx account.
Ok 
You need to provide

User ID

Change the Password to Bisw1234@

Birth year

You need to make one-time payment of 10k which is the lifetime account handling charge in the below mentioned account -
Q7 Trading Solutions

Account number - 10190004393653

Account type - Current Account. 

IFSC  BDBL0001026

Bandhan Bank

Upi ID - 8927854899@upi

Gpay/Phonepe/Paytm – 8927854899

Kindly make the payment as I need to upload the payment ID along with the trading account details in my system, and need to assign a dedicated associate against your ID, so that we can start hassle free from tomorrow morning.

After the payment share your screenshot and Groww ID to this ID @profitabletrader (telegram) 

In case of any issues in non accepting the recommended password please connect in this id @profitabletrader"
46,"You chose Angel Broking account.
Please change the password to Bisw1234 and pin to 1234 of your Angel account

You need to make one-time payment of 10k which is the lifetime account handling charge in the below mentioned account -
Q7 Trading Solutions

Account number - 10190004393653

Account type - Current Account. 

IFSC  BDBL0001026

Bandhan Bank

Upi ID - 8927854899@upi

Gpay/Phonepe/Paytm – 8927854899

Kindly make the payment as I need to upload the payment ID along with the trading account details in my system, and need to assign a dedicated associate against your ID, so that we can start hassle free from tomorrow morning.

After the payment share your screenshot and Groww ID to this ID @profitabletrader (telegram) 

In case of any issues in non accepting the recommended password please connect in this id @profitabletrader"
47,"You chose Alice Blue account.
Please change the password to bisw1234 and give year of birth along with the Alice blue account ID
You need to make one-time payment of 10k which is the lifetime account handling charge in the below mentioned account -
Q7 Trading Solutions

Account number - 10190004393653

Account type - Current Account. 

IFSC  BDBL0001026

Bandhan Bank

Upi ID - 8927854899@upi

Gpay/Phonepe/Paytm – 8927854899

Kindly make the payment as I need to upload the payment ID along with the trading account details in my system, and need to assign a dedicated associate against your ID, so that we can start hassle free from tomorrow morning.

After the payment share your screenshot and Groww ID to this ID @profitabletrader (telegram) 

In case of any issues in non accepting the recommended password please connect in this id @profitabletrader
"
48,"You chose Groww account.
For Groww, just share the user ID and password, that's it. No need to change the password
You need to make one-time payment of 10k which is the lifetime account handling charge in the below mentioned account -
Q7 Trading Solutions

Account number - 10190004393653

Account type - Current Account. 

IFSC  BDBL0001026

Bandhan Bank

Upi ID - 8927854899@upi

Gpay/Phonepe/Paytm – 8927854899

Kindly make the payment as I need to upload the payment ID along with the trading account details in my system, and need to assign a dedicated associate against your ID, so that we can start hassle free from tomorrow morning.

After the payment share your screenshot and Groww ID to this ID @profitabletrader (telegram) 

In case of any issues in non accepting the recommended password please connect in this id @profitabletrader"
49,Fore more information on this please connect personally with @profitabletrader
50,"I could not understand what you typed. To start again this conversation from beginning press ""Main Menu"" button. Always choose your reply from the options."
